Model Number,ASIN,SKU,Title,Expected Ship Date,Confirmed ship date,Quantity submitted,Accepted Quantity,Quantity received,Quantity outstanding,Unit Cost,Total Cost,
t6star6urnpm,B0756NRH1Q,850098008002,"T6 STAR6URN-PM - Fat Burner and Sleep Aid for Muscle-Preserving Weight Loss and Stress Relief, Green Coffee Bean and Garcinia Cambogia Extract, 50 veggie caps",5/23/2018,5/16/2018,36,36,0,36,$34.47,"$1,240.92",
Gencre,B075141SWS,868054000397,"Genius Creatine Powder, Post Workout Supplement For Men and Women with Creapure Monohydrate, Hydrochloride (HCL) MagnaPower and Carnosyn Beta-Alanine SR, Natural Lean Muscle Builder - Sour Apple, 188G",5/23/2018,5/16/2018,144,144,0,144,$29.70,"$4,276.80",
GENIUSJOY,B0743J21SF,868054000380,"Genius Joy - Serotonin Mood Booster for Anxiety Relief, Wellness and Brain Support, Nootropic Dopamine Stack with SAM-E, Panax Ginseng and L-Theanine - Replace Antidepressants Naturally, 100 VCaps",5/23/2018,5/16/2018,336,336,0,336,$59.95,"$20,143.20",
GENPROGT,B071S9J5GT,868054000359,"Genius Probiotics for Weight Loss w/ Green Tea Extract for Women & Men - Shelf Stable Probiotic Natural EGCG Fat Burner Supplement, Digestive Health Pills for Bloating Relief and Belly Reduction -30sv",5/23/2018,5/16/2018,96,96,0,96,$29.90,"$2,870.40",
GENBCAA,B06XCHZ88C,868054000311,"GENIUS BCAA Powder with Focus & Energy - Multiuse Natural Vegan Preworkout BCAAs for Mental Clarity and Faster Muscle Recovery, Pre, Intra and Post Workout Drink with Memory Enhancement, Orange, 21sv",5/23/2018,5/16/2018,36,36,0,36,$34.75,"$1,251.00",
GENARG,B06VW6GS8G,868054000304,"GENIUS L ARGININE Powder - Fermented L-Arginine Nitric Oxide Supplement, Natural Muscle Builder & NO Booster for Healthy Blood Pressure, Protein Synthesis and Strength Building, Unflavored, 30 Sv",5/23/2018,5/16/2018,72,72,0,72,$14.75,"$1,062.00",
thyroid2,B01N2GLZHT,850009007032,"Sheer Natural Thyroid Support Supplement - Vitamin B12, Zinc, Copper, L-Tyrosine, Selenium, Ashwagandha, and More for Boosting Energy and Losing Weight, 30 Day Supply",5/16/2018,5/16/2018,12,0,0,0,$16.98,$0.00,
GENIUSPRE,B01M6A0KR0,860268000286,"Genius Pre Workout - All Natural Nootropic Preworkout Powder & Caffeine-Free Nitric Oxide Booster with Beta Alanine and Alpha GPC - Focus, Energy and Muscle Building Supplement, Grape Limeade, 338G",5/23/2018,5/16/2018,60,60,0,60,$39.75,"$2,385.00",
EPICEN,B01J1Q2HCC,689466858853,"T6 Testosterone Booster - ALPHA MUSCLE-XT, Scientifically Formulated Muscle Builder for Men with Ashwagandha (KSM-66), Zinc, DIM (Estrogen Blocker) and 4 More Muscle Building Ingredients, 60 V-Caps",5/23/2018,5/16/2018,48,48,0,48,$49.90,"$2,395.20",
Genius1,B01GP2Y3BS,860268000262,"GENIUS FAT BURNER - Thermogenic Weight Loss & Nootropic Focus Supplement - Natural Metabolism & Energy Booster for Men & Women | Thyroid Support and Appetite Suppressant w/ Gymnema Sylvestre, 60 Pills",5/23/2018,5/16/2018,36,36,0,36,$49.90,"$1,796.40",
CYROTHERAPY,B01GCHTTV0,689466858815,"T6 Cryotherapy - Natural Joint Support Supplement | Arthritis Pain Relief, Anti Inflammatory Cartilage Repair & Bone Strength | Type 2 Collagen Pills + Curcumin with Bioperine + Boswellia Extract,30Sv",5/23/2018,5/16/2018,36,36,0,36,$34.50,"$1,242.00",
TP1,B01EIPHP2S,784672944861,"RAW Synergies Pre Workout Thermogenic Fat Burner Powder for Women and Men, All Natural Energy & Weight Loss Supplement - Focus & Metabolism Booster Drink - No Artificial Sweeteners, Fruit Punch, 24SV",5/23/2018,5/16/2018,48,48,0,48,$39.00,"$1,872.00",
GAT-242,B01DYU5FVQ,859613000156,"GAT PMP (Peak Muscle Performance), Next Generation Pre Workout Powder for Intense Performance Gains, Strawberry Banana, 30 Servings",5/23/2018,5/16/2018,12,12,0,12,$26.00,$312.00,
GAT-248,B01AXJSBBW,859613000323,"GAT PMP (Peak Muscle Performance), Next Generation Pre Workout Powder for Intense Performance Gains, Stimulant Free Blue Raspberry, 30 Servings",5/23/2018,5/16/2018,12,12,0,12,$26.00,$312.00,
MM002,B0149JVX12,867965000113,"Modern Man PM Fat Burner - Sleep Aid, Weight Loss & Testosterone Booster for Men, Best Night Time Metabolism Booster & Caffeine Free Sleep Supplement | Burn Belly Fat & Build Lean Muscle, 60 Pills",5/23/2018,5/16/2018,300,300,0,300,$34.50,"$10,350.00",
